"","bam.SRR_76_ngm_sorted.bam"
"AAC66406-1",147
"AAC66400-1",319
"AAC66399-1",6376
"AAC66398-1",1634
"AAC66397-1",1682
"AAC66404-1",2406
"AAC66396-1",850
"AAC66403-1",227
"AAC66395-1",1193
"AAC66402-1",3257
"AAC66394-1",356
"AAC66401-1",628
"AAC66393-1",956
"AAC66392-1",1070
"AAC66391-1",1756
"AAC66414-1",349
"AAC66416-1",527
"AAC66410-1",3972
"AAC66409-1",1277
"AAC66415-1",2153
"AAC66408-1",1059
"AAC66407-1",4017
"AAC66429-1",7326
"AAC66428-1",2064
"AAC66423-1",300
"AAC66422-1",198
"AAC66421-1",2481
"AAC66427-1",2134
"AAC66420-1",410
"AAC66426-1",15059
"AAC66419-1",1166
"AAC66418-1",1642
"AAC66417-1",582
"AAC66424-1",2717
"AAC66439-1",1018
"AAC66437-1",960
"AAC66443-1",1858
"AAC66442-1",422
"AAC66436-1",1547
"AAC66435-1",2032
"AAC66434-1",1520
"EBG00001182602-1",621734
"AAC66441-1",437
"EBG00001182616-1",89977
"AAC66433-1",583
"AAC66432-1",1441
"AAC66431-1",875
"AAC66430-1",1283
"AAC66457-1",543
"AAC66452-1",4959
"AAC66451-1",17459
"AAC66450-1",36779
"AAC66456-1",3177
"AAC66449-1",3020
"AAC66448-1",1697
"AAC66447-1",3151
"AAC66455-1",493
"AAC66454-1",1659
"AAC66446-1",1660
"AAC66445-1",1177
"AAC66453-1",904
"AAC66462-1",2652
"AAC66461-1",4797
"AAC66460-1",1162
"AAC66467-1",741
"AAC66466-1",165
"AAC66459-1",227
"AAC66459-2",1970
"AAC66465-1",327
"AAC66458-1",175
"AAC66474-1",174
"AAC66473-1",228
"AAC66477-1",1571
"AAC66476-1",795
"AAC66472-1",1765
"AAC66475-1",481
"AAC66471-1",1723
"AAC66470-1",3892
"AAC66469-1",9383
"AAC66490-1",3768
"AAC66487-1",995
"AAC66485-1",485
"AAC66484-1",3832
"AAC66489-1",607
"AAC66482-1",2125
"AAC66488-1",1763
"AAC66481-1",1221
"AAC66480-1",645
"AAC66479-1",1335
"AAC66501-1",2509
"AAC66505-1",299
"AAC66504-1",332
"AAC66500-1",4821
"AAC66499-1",944
"AAC66503-1",1321
"AAC66498-1",2206
"AAC66497-1",2532
"AAC66496-1",3199
"AAC66502-1",1015
"AAC66495-1",5045
"AAC66494-1",1559
"AAC66493-1",1206
"AAC66492-1",2085
"AAC66491-1",3729
"AAC66516-1",2407
"AAC66515-1",462
"AAC66514-1",1104
"AAC66517-1",2148
"AAC66513-1",2123
"AAC66512-1",2730
"AAC66511-1",3265
"AAC66522-1",108
"AAC66521-1",869
"AAC66520-1",1464
"AAC66510-1",6294
"AAC66509-1",3755
"AAC66508-1",1050
"AAC66519-1",195
"AAC66507-1",4218
"AAC66506-1",6392
"AAC66518-1",6072
"AAC66535-1",676
"AAC66531-1",2154
"AAC66530-1",2019
"AAC66529-1",10613
"AAC66534-1",137
"AAC66533-1",177
"AAC66527-1",1047
"AAC66532-1",1189
"AAC66526-1",552
"AAC66525-1",4237
"AAC66524-1",2804
"AAC66523-1",5096
"AAC66541-1",160626
"AAC66539-1",2566
"AAC66538-1",716
"AAC66537-1",3874
"AAC66536-1",5517
"AAC66544-1",2407
"AAC66543-1",194
"AAC66542-1",787
"AAC66550-1",3001
"AAC66555-1",1066
"AAC66549-1",309
"AAC66554-1",1629
"AAC66553-1",587
"AAC66552-1",3338
"AAC66548-1",257
"AAC66551-1",1317
"AAC66547-1",828
"AAC66563-1",1735
"AAC66562-1",1745
"AAC66561-1",1036
"AAC66568-1",1510
"AAC66567-1",1198
"AAC66566-1",1036
"AAC66564-1",619
"AAC66560-1",1770
"AAC66559-1",3132
"AAC66558-1",245
"AAC66557-1",4149
"AAC66556-1",3168
"AAC66580-1",1075
"AAC66577-1",244
"AAC66576-1",52
"AAC66575-1",113
"AAC66574-1",337
"AAC66584-1",1268
"AAC66572-1",742
"AAC66571-1",6611
"AAC66582-1",128
"AAC66581-1",215
"AAC66570-1",1031
"AAC66569-1",2776
"AAC66591-1",1125
"AAC66590-1",2451
"AAC66589-1",1089
"AAC66588-1",2128
"EBG00001182590-1",281255
"AAC66587-1",2642
"AAC66586-1",859
"AAC66585-1",1389
"EBG00001182608-1",1516568
"EBG00001182613-1",458826
"AAC66601-1",1175
"AAC66597-1",707
"AAC66599-1",1286
"AAC66594-1",1243
"AAC66598-1",519
"EBG00001182597-1",33660
"AAC66613-1",2637
"AAC66610-1",1539
"AAC66609-1",4079
"AAC66608-1",4526
"AAC66607-1",2153
"AAC66606-1",5319
"AAC66605-1",2755
"AAC66604-1",3457
"AAC66603-1",1043
"AAC66602-1",762
"AAC66623-1",665
"AAC66622-1",2581
"AAC66625-1",548
"AAC66621-1",4360
"AAC66620-1",4085
"AAC66619-1",2372
"AAC66618-1",909
"AAC66617-1",2350
"AAC66616-1",3363
"AAC66615-1",275
"AAC66614-1",1375
"AAC66624-1",3924
"AAC66631-1",3395
"AAC66635-1",15798
"AAC66630-1",788
"AAC66629-1",10972
"AAC66628-1",1869
"AAC66634-1",72
"AAC66627-1",1255
"AAC66626-1",1057
"AAC66633-1",550
"AAC66632-1",2254
"AAB91499-1",120
"AAB91498-1",2076
"AAB91497-1",413
"AAB91496-1",1983
"EBG00001182609-1",257768
"AAB91495-1",6018
"AAB91493-1",21661
"AAC66639-1",753
"AAC66642-1",562
"AAC66638-1",3808
"AAC66636-1",1158
"AAC66641-1",874
"AAC66640-1",1282
"AAC66691-1",1728
"AAC66685-1",717
"AAC66684-1",180
"AAC66683-1",3217
"AAC66690-1",616
"AAC66682-1",602
"AAC66681-1",5626
"AAC66680-1",766
"AAC66679-1",7892
"AAC66678-1",689
"AAC66677-1",5316
"AAC66676-1",6369
"AAC66675-1",156
"AAC66674-1",74
"AAC66673-1",791
"AAC66672-1",475
"AAC66671-1",847
"AAC66670-1",2903
"AAC66669-1",1244
"AAC66668-1",4357
"AAC66667-1",1489
"AAC66666-1",256
"AAC66665-1",6431
"AAC66664-1",1009
"AAC66663-1",6463
"AAC66662-1",1574
"AAC66661-1",222
"AAC66660-1",1324
"AAC66659-1",1274
"AAC66658-1",2954
"AAC66657-1",8861
"AAC66656-1",1986
"AAC66655-1",5536
"AAC66654-1",2963
"AAC66653-1",968
"AAC66652-1",399
"AAC66651-1",652
"AAC66650-1",466
"AAC66649-1",7773
"AAC66648-1",10436
"AAC66647-1",2597
"AAC66646-1",747
"AAC66645-1",1431
"AAC66644-1",313
"AAC66689-1",16
"AAC66643-1",383
"AAC66688-1",265
"AAC66687-1",153
"AAC66686-1",279
"AAC66699-1",648
"AAC66698-1",852
"AAC66697-1",2390
"AAC66696-1",292
"AAC66704-1",154
"AAC66695-1",254
"AAC66694-1",144
"AAC66693-1",1000
"AAC66692-1",283
"AAC66702-1",37
"AAC66701-1",2504
"AAC66700-1",7174
"AAC66712-1",520
"AAC66711-1",1960
"AAC66710-1",2802
"AAC66709-1",2021
"AAC66708-1",3240
"AAC66706-1",3194
"AAC66728-1",274
"AAC66724-1",2756
"AAC66723-1",1740
"AAC66722-1",1154
"AAC66721-1",2410
"AAC66719-1",9688
"AAC66718-1",2137
"AAC66717-1",5941
"AAC66727-1",344
"AAC66716-1",3110
"AAC66715-1",2910
"AAC66714-1",529
"AAC66713-1",920
"AAC66726-1",686
"AAC66725-1",1354
"AAC66734-1",125
"AAC66733-1",11228
"AAC66741-1",786
"AAC66732-1",628
"AAC66740-1",2878
"AAC66739-1",372
"AAC66738-1",752
"AAC66737-1",1336
"AAC66731-1",1683
"AAC66730-1",716
"AAC66755-1",2120
"AAC66752-1",1143
"AAC66751-1",1202
"AAC66750-1",425
"AAC66749-1",1143
"AAC66748-1",2439
"AAC66747-1",9036
"AAC66754-1",614
"AAC66746-1",1192
"AAC66745-1",776
"AAC66744-1",458
"AAC66743-1",1236
"AAC66742-1",1123
"AAC66753-1",315
"AAC66766-1",1838
"AAC66764-1",319
"AAC66763-1",416
"AAC66762-1",220
"AAC66765-1",774
"AAC66761-1",318
"AAC66760-1",2434
"AAC66759-1",2980
"AAC66758-1",1318
"AAC66757-1",3714
"AAC66756-1",1993
"AAB91505-1",1085
"AAB91504-1",8875
"AAB91503-1",19930
"AAB91502-1",16896
"AAB91500-1",4316
"AAC66774-1",1918
"AAC66773-1",2784
"AAC66772-1",2782
"AAC66771-1",4032
"AAC66770-1",1491
"EBG00001182603-1",225805
"AAC66769-1",7211
"EBG00001182619-1",277131
"AAC66779-1",745
"AAC66778-1",1079
"AAC66777-1",140
"AAC66776-1",1526
"AAC66768-1",1393
"AAC66767-1",1754
"AAC66775-1",364
"AAC66796-1",476
"AAC66795-1",3954
"AAC66794-1",3735
"AAC66788-1",1355
"AAC66787-1",3133
"AAC66793-1",591
"AAC66791-1",303
"AAC66785-1",257
"AAC66784-1",314
"AAC66789-1",934
"AAC66783-1",1055
"AAC66782-1",822
"AAC66790-1",2684
"AAC66781-1",1410
"AAC66780-1",3979
"EBG00001182607-1",3848535
"EBG00001182595-1",119320
"EBG00001182593-1",0
"EBG00001182587-1",0
"EBG00001182591-1",6703211
"EBG00001182594-1",231490
"EBG00001182592-1",0
"EBG00001182579-1",0
"AAC66798-1",1301
"AAC66797-1",1524
"EBG00001182606-1",814913
"EBG00001182604-1",621267
"EBG00001182611-1",175141
"AAC66812-1",5042
"AAC66807-1",463
"AAC66811-1",3053
"AAC66810-1",2007
"AAC66806-1",291
"AAC66805-1",520
"AAC66804-1",819
"AAC66803-1",11799
"AAC66802-1",11507
"AAB91515-1",1373
"AAB91514-1",1596
"AAB91513-1",628
"AAB91512-1",2426
"AAB91511-1",622
"AAB91509-1",901
"AAB91508-1",1349
"AAB91507-1",7782
"AAB91506-1",4107
"AAC66821-1",1773
"AAC66820-1",183
"AAC66819-1",209
"AAC66818-1",509
"AAC66817-1",196
"AAC66823-1",502
"AAC66816-1",1227
"AAC66815-1",2649
"AAC66814-1",332
"AAC66822-1",340
"AAC66813-1",981
"AAC66837-1",1262
"EBG00001182577-1",238220
"EBG00001182620-1",428577
"AAC66836-1",2314
"EBG00001182585-1",846056
"EBG00001182610-1",284982
"EBG00001182581-1",1074974
"AAC66831-1",2585
"AAC66830-1",536
"AAC66829-1",1182
"AAC66835-1",929
"AAC66834-1",3236
"AAC66828-1",2826
"AAC66827-1",540
"AAC66826-1",1359
"AAC66825-1",201
"AAC66833-1",215
"AAC66832-1",2006
"AAC66824-1",826
"AAC66867-1",423
"AAC66868-1",107
"AAC66866-1",23540
"AAC66865-1",4355
"AAC66864-1",4483
"AAC66863-1",1859
"AAC66862-1",2153
"AAC66861-1",5514
"AAC66860-1",2445
"AAC66859-1",2410
"AAC66858-1",1422
"AAC66857-1",1251
"AAC66856-1",187
"AAC66855-1",239
"AAC66854-1",927
"AAC66853-1",599
"AAC66852-1",2720
"AAC66851-1",899
"AAC66850-1",1097
"AAC66849-1",1729
"AAC66848-1",836
"AAC66847-1",2321
"AAC66846-1",426
"AAC66845-1",1301
"AAC66844-1",4761
"AAC66843-1",353
"AAC66842-1",2319
"AAC66841-1",2052
"AAC66840-1",4920
"AAC66839-1",2048
"AAC66875-1",5450
"AAC66874-1",1031
"AAC66880-1",740
"AAC66872-1",2822
"AAC66879-1",3791
"AAC66876-1",1987
"AAC66870-1",1264
"AAC66888-1",977
"AAC66887-1",7155
"AAC66886-1",984
"AAC66884-1",627
"AAC66883-1",1538
"AAC66893-1",1449
"AAC66882-1",185
"AAC66881-1",492
"AAC66903-1",9574
"AAC66902-1",238
"AAC66904-1",174
"AAC66901-1",3252
"EBG00001182599-1",588333
"EBG00001182578-1",2728621
"EBG00001182596-1",923813
"AAC66900-1",334
"AAC66899-1",275
"AAC66898-1",2157
"AAC66897-1",20863
"AAC66915-1",10253
"AAC66912-1",2972
"AAC66911-1",1744
"AAC66914-1",556
"AAC66910-1",77
"AAC66909-1",580
"AAC66913-1",68
"AAC66908-1",480
"AAC66907-1",990
"AAC66923-1",1568
"AAC66927-1",1001
"AAC66926-1",113
"AAC66925-1",501
"AAC66922-1",2117
"AAC66921-1",14555
"AAC66920-1",5772
"AAC66919-1",4457
"AAC66918-1",1494
"AAC66924-1",383
"AAC66940-1",996
"AAC66939-1",379
"AAC66936-1",1904
"AAC66938-1",415
"AAC66935-1",3112
"AAC66934-1",4697
"AAC66937-1",2237
"AAC66933-1",3909
"EBG00001182584-1",574487
"AAC66932-1",608
"AAC66931-1",2195
"AAC66929-1",386
"AAC66946-1",1583
"AAC66948-1",538
"AAC66947-1",3218
"AAC66945-1",3967
"AAC66944-1",9325
"AAC66943-1",991
"AAC66942-1",1784
"AAC66941-1",1647
"AAB91524-1",1861
"AAB91523-1",832
"AAB91522-1",2845
"AAB91521-1",168
"AAB91520-1",2988
"AAB91519-1",3409
"AAB91517-1",320
"AAB91516-1",1040
"AAC66960-1",1728
"AAC66957-1",5252
"AAC66956-1",1927
"AAC66959-1",258
"AAC66955-1",2581
"AAC66954-1",5634
"AAC66953-1",1321
"AAC66952-1",3042
"AAC66958-1",508
"AAC66951-1",2164
"AAC66950-1",906
"AAC66949-1",12480
"AAC66970-1",1788
"AAC66969-1",1444
"AAC66968-1",1248
"AAC66967-1",1449
"AAC66966-1",3513
"EBG00001182580-1",3525087
"EBG00001182605-1",752083
"EBG00001182600-1",572812
"EBG00001182612-1",1319324
"AAC66965-1",6174
"AAC66964-1",3856
"AAC66963-1",8651
"AAC66962-1",3914
"AAC66971-1",502
"AAC66961-1",14662
"EBG00001182588-1",2055267
"AAC66979-1",1212
