#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,COG(s),Protein name
chr,NC_001318.1,105,677,+,1194837,-,BB_0001,NP_212135.1,190,-,hypothetical protein BB_0001
chr,NC_001318.1,768,1796,-,1194838,-,BB_0002,NP_212136.1,342,-,hypothetical protein BB_0002
chr,NC_001318.1,3419,5188,+,1194840,-,BB_0004,NP_212138.2,589,-,phosphoglucomutase
chr,NC_001318.1,5251,6306,-,1194841,trpS,BB_0005,NP_212139.2,351,-,tryptophan--tRNA ligase
chr,NC_001318.1,6309,7397,-,1194842,-,BB_0006,NP_212140.2,362,-,membrane protein
chr,NC_001318.1,7458,8315,-,1194843,-,BB_0007,NP_212141.1,285,-,hypothetical protein BB_0007
chr,NC_001318.1,8427,9197,+,1194844,-,BB_0008,NP_212142.2,256,-,hypothetical protein BB_0008
chr,NC_001318.1,9202,10206,+,1194845,-,BB_0009,NP_212143.1,334,-,hypothetical protein BB_0009
chr,NC_001318.1,10203,10577,+,1194846,-,BB_0010,NP_212144.1,124,-,holo-acyl-carrier protein synthase
chr,NC_001318.1,10581,11420,+,1194847,-,BB_0011,NP_212145.1,279,-,hypothetical protein BB_0011
chr,NC_001318.1,11421,12161,+,1194848,truA,BB_0012,NP_212146.1,246,-,tRNA pseudouridine synthase A
chr,NC_001318.1,12154,12753,+,1194849,-,BB_0013,NP_212147.1,199,-,hypothetical protein BB_0013
chr,NC_001318.1,12746,14728,+,1194850,priA,BB_0014,NP_212148.1,660,-,primosomal protein N
chr,NC_001318.1,14725,15345,-,1194851,udk,BB_0015,NP_212149.2,206,-,uridine kinase
chr,NC_001318.1,15345,15716,-,1194852,-,BB_0016,NP_212150.2,123,-,GlpE protein
chr,NC_001318.1,15995,16804,+,1194853,-,BB_0017,NP_212151.2,269,-,integral membrane protein
chr,NC_001318.1,16807,17808,-,1194854,-,BB_0018,YP_008686553.1,333,-,ribosomal large subunit pseudouridine synthase D
chr,NC_001318.1,17792,18304,-,1194855,-,BB_0019,NP_212153.1,170,-,hypothetical protein BB_0019
chr,NC_001318.1,18312,19979,-,1194856,-,BB_0020,YP_008686554.1,555,-,diphosphate--fructose-6-phosphate 1-phosphotransferase
chr,NC_001318.1,21058,22101,-,1194858,ruvB,BB_0022,NP_212156.1,347,-,Holliday junction DNA helicase RuvB
chr,NC_001318.1,22146,22739,-,1194859,ruvA,BB_0023,NP_212157.1,197,-,Holliday junction DNA helicase RuvA
chr,NC_001318.1,22819,23958,+,1194860,-,BB_0024,NP_212158.1,379,-,hypothetical protein BB_0024
chr,NC_001318.1,23965,24696,-,1194861,-,BB_0025,NP_212159.1,243,-,transcriptional regulator
chr,NC_001318.1,24697,25623,-,1194862,-,BB_0026,NP_212160.1,308,-,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
chr,NC_001318.1,25753,26391,+,1194863,-,BB_0027,NP_212161.1,212,-,hypothetical protein BB_0027
chr,NC_001318.1,26399,27448,+,1194864,-,BB_0028,NP_212162.1,349,-,hypothetical protein BB_0028
chr,NC_001318.1,27434,27865,-,1194865,-,BB_0029,NP_212163.1,143,-,hypothetical protein BB_0029
chr,NC_001318.1,27855,28490,-,1194866,lepB,BB_0030,NP_212164.1,211,-,signal peptidase I
chr,NC_001318.1,28492,29472,-,1194867,lepB,BB_0031,NP_212165.1,326,-,signal peptidase I
chr,NC_001318.1,29543,31015,+,1194868,-,BB_0032,NP_212166.1,490,-,hypothetical protein BB_0032
chr,NC_001318.1,31027,31479,+,1194869,smpB,BB_0033,NP_212167.1,150,-,SsrA-binding protein
chr,NC_001318.1,31550,32089,-,1194870,-,BB_0034,NP_212168.1,179,-,outer membrane protein P13
chr,NC_001318.1,32157,34037,-,1194871,-,BB_0035,NP_212169.1,626,-,DNA topoisomerase IV subunit A
chr,NC_001318.1,34037,35836,-,1194872,-,BB_0036,NP_212170.1,599,-,DNA topoisomerase IV subunit B
chr,NC_001318.1,35857,36609,-,1194873,-,BB_0037,NP_212171.1,250,-,1-acyl-sn-glycerol-3-phosphate acyltransferase
chr,NC_001318.1,36606,38123,-,1194874,-,BB_0038,YP_008686555.1,505,-,hypothetical protein BB_0038
